codename,id,name,description,views,created_at,updated_at,is_published,language_id,category_id,joined_tag_names,language_code,next_expiration_on,language_code
308326-how-to-edit-the-custom-list,308326,How to edit custom list?,"",1789,2018-04-16 03:42:34 UTC,2018-04-26 06:46:32 UTC,true,1,,,,,,en_US
how-can-i-unlink-issues-from-a-form,266236,How can I unlink issues from a form?,"",1961,2017-08-07 08:36:56 UTC,2021-08-16 02:59:27 UTC,true,1,,,,,,en_US
release-notes-mobile-ios-android-v4-146-1-29-jan-2020,529354,Release Notes - Mobile (iOS & Android) v4.146.1 (29-Jan-2020),"",1081,2020-02-05 00:27:01 UTC,2020-02-05 02:01:41 UTC,true,1,,,,,,en_US
341361-can-i-change-location-of-an-inspection-form,341361,Can I change the location/discipline of an inspection form? ,"",1667,2018-10-04 05:32:42 UTC,2019-08-29 03:22:57 UTC,true,1,,,,,,en_US
how-can-i-unlink-documents-from-a-form,266239,How can I unlink documents from a form? (Older version),"",1003,2017-08-07 09:03:12 UTC,2019-06-27 07:55:33 UTC,true,1,,,,,,en_US
how-can-i-search-for-forms,264269,How can I search for forms?,"",2710,2017-07-24 08:13:05 UTC,2019-02-13 13:57:28 UTC,true,1,,,,,,en_US
how-to-closed-failed-related-forms,398326,"How to ""Closed (Failed)"" related forms? ","",1202,2019-06-20 05:57:32 UTC,2021-08-16 02:40:00 UTC,true,1,,,,,,en_US
release-notes-ios-v41480-30-april-2020,595760,Release Notes - Hot fix - iOS v4.148.0 (30-April-2020),"",905,2020-06-15 02:12:04 UTC,2020-06-15 02:15:17 UTC,true,1,,,,,,en_US
how-to-withdraw-an-appointment?,623354,How to withdraw an appointment?,"",861,2020-08-10 11:26:19 UTC,2020-08-10 11:54:24 UTC,true,1,,,,,,en_US
340755-view-edit-delete-permit-inspection,340755,View/Edit/Delete Permit Inspection,"",1774,2018-09-26 09:32:07 UTC,2018-09-26 10:36:23 UTC,true,1,,,,,,en_US
how-to-link-documents-to-locations,269194,How to link documents to locations?,"",2324,2017-08-28 04:20:10 UTC,2019-05-06 10:49:50 UTC,true,1,,,,,,en_US
how-to-add-users-to-project,264286,How to add users to project?,"",4541,2017-07-24 09:25:25 UTC,2020-12-14 08:37:32 UTC,true,1,,,,,,en_US
287202-how-to-design-inspections-in-snagr,287202,How do I create an inspection form template and build in business logic? ,"",4287,2017-11-22 03:34:51 UTC,2019-01-15 13:25:14 UTC,true,1,,,,,,en_US
how-to-delete-a-file,268886,How to delete a file?,"",1926,2017-08-25 08:58:13 UTC,2018-03-14 08:10:47 UTC,true,1,,,,,,en_US
340744-edit-default-language-or-logo,340744,Edit Default Language or Logo (at Company Level),"",1873,2018-09-26 08:26:23 UTC,2018-09-28 05:32:26 UTC,true,1,,,,,,en_US
how-do-i-send-notifications-regarding-a-form,264256,How do I send notifications regarding a form?,"",2142,2017-07-24 07:50:22 UTC,2018-09-19 09:47:52 UTC,true,1,,,,,,en_US
how-to-batch-update-user-permissions,384651,How to batch update user(s) permissions?,"",1335,2019-05-02 09:56:50 UTC,2019-10-28 13:44:00 UTC,true,1,,,,,,en_US
can-i-define-photo-size,268126,Can I define photo size?,"",2202,2017-08-21 04:48:17 UTC,2018-03-14 06:50:15 UTC,true,1,,,,,,en_US
how-to-add-contractors-to-project,264287,How to add contractors to project?,"",4031,2017-07-24 09:25:27 UTC,2019-01-10 06:05:36 UTC,true,1,,,,,,en_US
release-notes-hotfix-iosandroid-v41536-12-may-2021-,922859,Release Notes - Hotfix iOS/Android v4.153.6 (12-May-2021) ,"",891,2021-05-12 10:22:34 UTC,2021-05-28 08:46:16 UTC,true,1,,,,,,en_US
release-notes-hot-fix-android-v41489-07-june-2020,595766,Release Notes - Hot fix Android v4.148.9 (07-June-2020),"",972,2020-06-15 02:21:12 UTC,2020-06-15 02:22:14 UTC,true,1,,,,,,en_US
340874-location-sign-off,340874,Location Sign-off,"",2441,2018-09-27 07:14:53 UTC,2018-12-03 12:52:42 UTC,true,1,,,,,,en_US
how-to-create-an-appointment-for-the-owner?,623316,How to create an appointment for the Owner?,"",905,2020-08-10 09:06:06 UTC,2020-08-10 11:25:46 UTC,true,1,,,,,,en_US
how-do-i-clone-project,553904,How do I clone project?,"",1034,2020-04-02 08:28:17 UTC,2020-04-02 09:57:46 UTC,true,1,,,,,,en_US
308329-how-to-edit-drawing-set,308329,How to edit drawing set?,"",1901,2018-04-16 04:15:54 UTC,2018-04-26 10:59:09 UTC,true,1,,,,,,en_US
passwordcomplexity,357032,Password complexity set up (at Company level),"",1635,2019-01-09 09:56:00 UTC,2019-08-22 04:43:41 UTC,true,1,,,,,,en_US
how-to-set-up-locations-on-drawings,264282,How to set up locations on drawings?,"",4593,2017-07-24 09:18:32 UTC,2021-02-09 10:37:14 UTC,true,1,,,,,,en_US
photo-diary,268289,Photo Diary,"",2634,2017-08-22 01:52:54 UTC,2019-08-09 10:31:21 UTC,true,1,,,,,,en_US
what-is-bundle,268887,What is bundle?,"",2243,2017-08-25 08:58:30 UTC,2017-12-19 08:53:12 UTC,true,1,,,,,,en_US
315549-is-there-version-control-in-snagr-documents,315549,Is there version control in SnagR documents?,"",2138,2018-05-08 05:17:02 UTC,2019-01-03 10:50:00 UTC,true,1,,,,,,en_US
what-if-i-forgot-my-account-password,398320,What if I forgot my account password?,"",1544,2019-06-20 05:25:41 UTC,2019-11-01 03:58:53 UTC,true,1,,,,,,en_US
release-notes-ios-v41472-20-april-2020,567265,Release Notes - iOS v4.147.2 (20-April-2020),"",973,2020-04-21 00:53:36 UTC,2020-04-21 01:00:55 UTC,true,1,,,,,,en_US
latest-release-notes-mobile-app-v41459-23-jan-2020,521700,Release Notes - Mobile (iOS & Android) v4.145.9 (23-Jan-2020),"",992,2020-01-23 05:32:37 UTC,2020-01-29 09:32:23 UTC,true,1,,,,,,en_US
340736-how-can-i-remove-the-inspection-from-the-company,340736,Can I remove the inspection template at company level?,"",1538,2018-09-26 05:19:19 UTC,2018-09-26 10:34:31 UTC,true,1,,,,,,en_US
340745-add-contractors-at-the-company-level,340745,Manage Contractors at Company Level,"",1766,2018-09-26 08:38:08 UTC,2018-10-29 02:38:37 UTC,true,1,,,,,,en_US
386734-how-to-upload-documents-to-link-to-forms-new-upgrade,386734,How to upload documents to link to forms? (New upgrade),"",1936,2019-05-10 09:08:04 UTC,2021-08-16 02:45:33 UTC,true,1,,,,,,en_US
how-do-i-send-a-notification-regarding-an-issue,264234,Can I send a notification regarding an issue or update?,"",1816,2017-07-24 07:26:27 UTC,2018-03-14 07:20:15 UTC,true,1,,,,,,en_US
340751-add-permit,340751,Add Permit Form Pages,"",1784,2018-09-26 09:04:32 UTC,2018-09-26 10:35:44 UTC,true,1,,,,,,en_US
how-to-the-snagr-home-user-cancel-a-requested-appointment?,623314,How to the SnagR Home user cancel a requested appointment?,"",987,2020-08-10 08:47:06 UTC,2020-08-10 11:54:57 UTC,true,1,,,,,,en_US
how-to-upload-drawings,264279,How to prepare and upload drawings?,"",3969,2017-07-24 09:09:57 UTC,2019-01-10 04:26:39 UTC,true,1,,,,,,en_US
can-i-have-a-report-with-the-first-and-last-photo-only,268291,Can I have a report with the first and last photo only? ,"",1874,2017-08-22 01:56:16 UTC,2018-09-26 09:04:29 UTC,true,1,,,,,,en_US
how-do-i-search-issues-on-device,264257,How do I search for issues?,"",2756,2017-07-24 07:52:42 UTC,2019-11-01 04:01:49 UTC,true,1,,,,,,en_US
340863-permits-dashboard,340863,How do I view and submit permits?,"",1758,2018-09-27 03:27:36 UTC,2019-05-10 09:58:56 UTC,true,1,,,,,,en_US
340737-how-can-i-remove-a-form-from-the-inspection-template,340737,How can I remove a form template from an inspection template?,"",1556,2018-09-26 05:27:23 UTC,2018-09-26 10:34:49 UTC,true,1,,,,,,en_US
how-to-link-drawings-together-manually,264280,How to link drawings together (manually)?,"",2030,2017-07-24 09:10:00 UTC,2019-05-06 03:09:11 UTC,true,1,,,,,,en_US
340762-terminology,340762,Terminology (at Company Level),"",1734,2018-09-26 10:03:31 UTC,2019-01-07 12:07:25 UTC,true,1,,,,,,en_US
312274-how-to-set-up-the-drawing-regions,312274,What is Drawing Region and how to set it up? ,"",5468,2018-04-24 10:50:55 UTC,2018-04-30 07:09:44 UTC,true,1,,,,,,en_US
340862-manufacturer,340862,Manufacturer,"",1885,2018-09-27 03:23:08 UTC,2018-09-27 03:25:09 UTC,true,1,,,,,,en_US
how-do-i-view-analytics,268299,How do I view issue analytics?,"",2232,2017-08-22 02:56:29 UTC,2018-09-26 08:47:25 UTC,true,1,,,,,,en_US
how-to-send-password-reminders,271440,How to send password reminders? ,"",1791,2017-08-30 09:39:28 UTC,2019-08-22 04:44:22 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-/-android-v41515-(9-oct-2020)-,680099,Release Notes - Hotfix iOS v4.151.5 / Android v4.151.4 (9-Oct-2020) ,"",702,2020-10-12 01:07:52 UTC,2020-10-12 02:04:01 UTC,true,1,,,,,,en_US
how-can-i-go-from-one-drawing-to-another,264206,How can I go from one drawing to another?,"",2967,2017-07-24 06:32:19 UTC,2019-10-24 04:14:16 UTC,true,1,,,,,,en_US
how-to-set-up-the-qr-code-image,610712,How to set up the QR Code image field?,"",1590,2020-07-17 08:21:27 UTC,2020-08-26 09:16:16 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41522-(5-nov-2020)-,713580,Release Notes - Hotfix iOS v4.152.2 (5-Nov-2020) ,"",856,2020-11-05 05:53:02 UTC,2020-11-05 05:54:40 UTC,true,1,,,,,,en_US
remove-and-re-add-project,264260,Remove and re-add project,"",3138,2017-07-24 08:03:21 UTC,2019-09-09 04:01:55 UTC,true,1,,,,,,en_US
how-to-organise-issue-pins-that-overlap-on-each-other,264227,Issue pins overlap on each other. It's difficult to click on them. How can this be fixed?,"",2403,2017-07-24 07:08:33 UTC,2018-12-03 05:26:41 UTC,true,1,,,,,,en_US
how-to-upload-documents,268878,How to upload documents to the Project Document Repository?,"",2342,2017-08-25 07:32:35 UTC,2019-05-06 10:45:57 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41549-19-oct-2021,1097563,Release Notes - Hotfix iOS v4.154.9 (19-Oct-2021),"",818,2021-10-19 00:48:35 UTC,2021-10-19 00:50:00 UTC,true,1,,,,,,en_US
latest-release-notes-v41011913-13-jan-2020,516167,Release Notes - Web v4.1.0.11913 (13-Jan-2020),"",1006,2020-01-13 09:31:04 UTC,2020-01-29 09:28:46 UTC,true,1,,,,,,en_US
release-notes-hotfix-android-v41462-13-march-2020,544549,Release Notes - Hotfix Android v4.146.2 (13-March-2020),"",876,2020-03-13 03:31:59 UTC,2020-03-13 03:36:04 UTC,true,1,,,,,,en_US
how-can-i-set-up-auto-close-for-photo-diaries,339759,How can I enable auto-close for photo diaries? ,"",1554,2018-09-19 08:28:58 UTC,2019-05-14 04:41:30 UTC,true,1,,,,,,en_US
340752-project-checklists,340752,Create Project Checklist,"",1729,2018-09-26 09:14:43 UTC,2018-09-27 10:24:14 UTC,true,1,,,,,,en_US
can-i-edit-issues,264231,Can I edit issues?,"",2915,2017-07-24 07:15:05 UTC,2019-11-01 04:01:42 UTC,true,1,,,,,,en_US
release-notes-android-v41489-07-june-2020,595764,Release Notes - Hot fix Android v4.148.9 (07-June-2020),"",923,2020-06-15 02:18:21 UTC,2020-06-15 02:20:07 UTC,true,1,,,,,,en_US
how-to-generate-the-welcome-packs,2153867,How to generate the Welcome Pack(s)?,"",586,2023-09-05 10:19:33 UTC,2023-09-05 10:26:42 UTC,true,1,,,,,,en_US
can-i-add-more-photos-to-an-issue,264229,Can I add more photos to an issue?,"",2700,2017-07-24 07:10:26 UTC,2019-11-01 04:01:25 UTC,true,1,,,,,,en_US
linkup-issue-contractor,378047,Can the contractor be automatically selected when a specific issue type is selected? ,"",1258,2019-04-09 05:02:39 UTC,2019-04-10 07:08:14 UTC,true,1,,,,,,en_US
how-to-edit-form-details,395174,How to edit form details?,"",1224,2019-06-11 10:31:17 UTC,2019-06-13 04:04:31 UTC,true,1,,,,,,en_US
340756-can-i-edit-replace-inspection-form,340756,Can I edit / replace form page image?,"",1509,2018-09-26 09:34:50 UTC,2018-09-26 10:32:01 UTC,true,1,,,,,,en_US
how-do-i-change-password,264226,How do I change password?,"",2160,2017-07-24 06:55:34 UTC,2019-02-04 05:26:19 UTC,true,1,,,,,,en_US
how-to-enable-specific-issue-categories-for-a-project,266223,I can't see the issue list when I add issues. What is wrong?,"",2003,2017-08-06 14:15:17 UTC,2018-09-27 08:40:34 UTC,true,1,,,,,,en_US
release-notes-v41517-(29-oct-2020)-,699547,Release Notes -  v4.151.7 (29-Oct-2020) ,"",822,2020-10-29 05:50:06 UTC,2020-10-29 05:51:02 UTC,true,1,,,,,,en_US
project-summary-what-are-the-figures-in-red-colour,340865,Project Summary: What are the figures in red colour? ,"",1817,2018-09-27 04:08:26 UTC,2019-05-09 06:28:03 UTC,true,1,,,,,,en_US
340764-can-i-search-inspection-forms-by-the-hotspot-value,340764,Can I search inspection forms by its content?,"",1728,2018-09-26 10:15:45 UTC,2020-08-31 05:59:52 UTC,true,1,,,,,,en_US
release-notes-hot-fix-android-v41490-10-june-2020,595765,Release Notes - Hot fix Android v4.149.0 (10-June-2020),"",994,2020-06-15 02:20:21 UTC,2020-06-15 02:21:08 UTC,true,1,,,,,,en_US
release-notes-ios-v41483-12-may-2020,595761,Release Notes - Hot fix - iOS v4.148.3 (12-May-2020),"",950,2020-06-15 02:13:42 UTC,2020-06-15 02:15:43 UTC,true,1,,,,,,en_US
handover-process-with-purchaser,268283,Handover to Purchasers,"",3301,2017-08-22 01:42:05 UTC,2019-04-16 05:41:26 UTC,true,1,,,,,,en_US
how-to-set-permission-for-kpi-dashboard,324497,How to set permissions for KPI dashboards?,"",2415,2018-06-25 04:20:21 UTC,2019-01-10 07:00:03 UTC,true,1,,,,,,en_US
340761-regions-divisions-programs,340761,Regions / Divisions / Programs (at Company Level),"",1528,2018-09-26 10:02:12 UTC,2019-01-07 12:12:37 UTC,true,1,,,,,,en_US
what-is-add-future-issue,264228,"What is ""Add Future Issue""?","",2049,2017-07-24 07:09:33 UTC,2018-03-14 06:49:29 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-/-android-v41510-(25-sept-2020)-,668547,Release Notes - Hotfix iOS / Android v4.151.0 (25-Sept-2020) ,"",639,2020-09-25 10:00:44 UTC,2020-09-25 10:02:57 UTC,true,1,,,,,,en_US
how-to-create-a-folder,268877,How to create a folder? ,"",2239,2017-08-25 07:32:15 UTC,2018-03-14 08:03:03 UTC,true,1,,,,,,en_US
371412-what-is-email-log,371412,What is Project Activity Log?,"",1559,2019-03-13 08:58:33 UTC,2019-10-28 14:46:17 UTC,true,1,,,,,,en_US
340878-icons-or-buttons-on-the-device,340878,Overview of all icons/buttons in mobile app,"",2471,2018-09-27 08:05:47 UTC,2019-05-10 05:01:48 UTC,true,1,,,,,,en_US
340750-add-permit-inspection,340750,Add Permit Inspection,"",1766,2018-09-26 09:04:31 UTC,2018-09-26 09:32:17 UTC,true,1,,,,,,en_US
312904-how-do-i-digitalise-a-form,312904,How do I set up a digital form?,"",3598,2018-04-27 03:41:41 UTC,2020-07-17 09:31:28 UTC,true,1,,,,,,en_US
latest-release-notes-v4-1-11845,499063,Release Notes - v4.1.11845 (28-Nov-2019),"",1202,2019-11-28 06:41:25 UTC,2020-01-13 09:34:47 UTC,true,1,,,,,,en_US
can-i-track-changes-of-a-form,266538,Can I track changes of a form?,"",2164,2017-08-10 07:37:42 UTC,2019-02-13 13:57:16 UTC,true,1,,,,,,en_US
release-notes-hotfix-iosandroid-v41531-03-may-2021-,905104,Release Notes - Hotfix iOS/Android v4.153.1 (03-May-2021) ,"",848,2021-05-03 02:45:57 UTC,2021-05-03 02:47:00 UTC,true,1,,,,,,en_US
can-issue-reports-be-generated-automatically,268445,Can issue reports be generated automatically? ,"",2265,2017-08-23 06:37:51 UTC,2018-09-27 04:12:42 UTC,true,1,,,,,,en_US
defect-management,337879,Defect Management,"",3112,2018-09-05 09:55:46 UTC,2018-12-31 15:36:02 UTC,true,1,,,,,,en_US
how-to-edit-users-detail,2153171,How to edit user's detail?,"",557,2023-09-04 08:48:08 UTC,2023-09-04 08:52:15 UTC,true,1,,,,,,en_US
how-to-move-a-file-from-one-folder-to-another,268888,How to move a file from one folder to another?,"",1941,2017-08-25 09:01:53 UTC,2018-03-14 08:11:44 UTC,true,1,,,,,,en_US
337878-non-conformance-report,337878,Non Conformance Report,"",2862,2018-09-05 09:55:09 UTC,2018-09-28 02:34:59 UTC,true,1,,,,,,en_US
release-notes-hotfix-android-v41545-27-august-2021,1025233,Release Notes - Hotfix Android v4.154.5 (27-August-2021),"",795,2021-08-27 01:08:38 UTC,2021-08-27 01:09:48 UTC,true,1,,,,,,en_US
340894-room-area-signoff,340894,Room / Area Signoff,"",1477,2018-09-27 10:13:35 UTC,2019-07-26 09:30:32 UTC,true,1,,,,,,en_US
how-to-add-multiple-issues-on-the-same-spot,265844,Can I add multiple issues on the same spot? ,"",2775,2017-08-03 05:29:40 UTC,2019-11-01 04:01:19 UTC,true,1,,,,,,en_US
339385-how-do-i-generate-a-custom-report,339385,How do I generate a custom report? ,"",3221,2018-09-14 11:35:32 UTC,2019-06-10 05:36:41 UTC,true,1,,,,,,en_US
how-to-generate-issue-report-for-subcontractors-only,268290,How to generate issue report for subcontractors only?,"",2640,2017-08-22 01:55:40 UTC,2018-01-03 08:11:12 UTC,true,1,,,,,,en_US
